266	203	175
106	272	92
272	136	92
144	199	171
270	106	22
97	89	465
261	444	417
326	165	391
266	32	203
185	145	180
185	180	320
271	216	424
222	484	59
432	413	450
384	501	183
413	430	450
319	122	295
41	110	345
444	137	174
175	228	21
190	102	91
199	146	84
78	315	166
177	164	218
266	175	480
161	178	132
478	266	480
156	222	59
175	21	162
422	424	217
144	171	10
146	199	144
199	206	171
480	175	162
203	228	175
260	227	84
84	227	199
21	166	162
240	84	146
498	84	240
206	67	171
324	465	257
176	293	147
204	197	200
240	146	113
161	74	126
148	98	79
203	100	228
199	239	206
17	60	0
335	156	59
339	100	32
32	100	203
142	146	144
144	10	443
239	199	227
141	144	443
473	396	185
35	44	60
35	41	44
259	493	116
396	145	185
156	335	476
146	142	113
240	342	224
410	176	289
410	289	284
434	493	27
229	227	260
17	25	60
138	144	141
3	17	0
142	144	138
25	35	60
380	65	242
142	101	486
244	23	91
142	486	113
101	142	138
288	99	41
325	214	404
262	396	220
455	335	31
267	109	184
191	209	101
127	34	76
338	225	55
407	466	459
87	102	124
426	96	317
198	252	298
486	101	209
250	74	132
207	6	313
460	409	392
273	252	198
438	65	380
108	322	441
346	87	124
229	280	227
91	102	127
257	219	343
252	274	298
319	136	312
345	80	109
80	345	86
136	319	92
239	227	280
250	120	74
149	313	6
345	109	267
127	76	244
479	346	124
325	331	232
418	490	277
407	459	392
55	49	426
124	102	137
489	54	488
273	364	264
100	382	103
128	140	491
347	63	229
47	455	8
18	330	475
318	23	5
479	124	119
41	99	110
90	295	454
338	55	45
74	120	126
391	421	54
464	330	18
165	167	438
381	413	432
184	109	111
117	77	173
128	155	140
431	300	231
280	229	63
112	90	454
261	119	444
381	492	57
128	151	155
283	182	262
120	33	126
33	334	126
58	54	489
151	128	27
51	409	460
313	210	315
239	64	67
123	90	112
182	283	275
187	286	264
416	22	133
416	270	22
244	91	127
102	34	127
493	151	27
72	350	274
28	267	184
270	272	106
94	408	225
368	81	195
443	415	141
64	239	280
450	430	487
31	323	8
31	8	455
407	414	466
344	136	272
390	219	78
164	177	184
177	28	184
293	274	252
345	110	86
338	114	446
164	184	160
73	446	114
165	438	391
49	96	426
218	164	93
112	454	159
410	123	112
334	33	105
264	147	273
49	170	96
20	300	431
454	211	159
281	131	241
276	64	280
173	357	117
408	94	178
178	161	408
49	55	170
33	262	70
228	452	21
273	147	252
147	293	252
106	92	481
395	72	274
261	211	454
85	241	351
225	371	94
119	137	444
283	250	275
489	468	58
275	250	245
430	413	58
410	112	176
72	395	281
103	452	228
501	218	93
276	280	351
87	181	102
71	295	90
331	325	328
4	171	448
286	134	264
51	488	54
264	289	147
353	194	186
430	468	487
344	355	136
395	274	293
287	77	429
181	87	30
120	250	283
359	402	117
395	131	281
188	309	301
457	90	251
92	319	481
234	307	46
414	385	466
94	374	133
105	33	70
102	181	34
219	257	496
121	180	485
59	484	88
207	78	496
249	307	294
129	501	93
501	129	53
301	304	296
162	482	480
450	73	367
37	54	58
468	430	58
225	408	170
191	138	403
294	332	226
48	483	309
431	150	14
460	488	51
354	139	300
33	283	262
226	139	249
261	417	211
91	318	107
311	304	301
14	38	431
309	311	301
349	247	343
311	238	304
238	296	304
217	441	130
308	324	247
22	106	457
106	425	457
61	201	256
226	249	294
130	39	414
9	67	64
353	83	194
242	409	421
150	431	231
1	268	308
54	421	51
35	114	41
44	41	28
111	109	80
160	184	111
8	323	500
440	241	427
323	437	500
323	325	437
409	51	421
139	168	249
497	25	17
403	16	62
441	474	39
446	450	487
14	150	223
324	97	465
165	316	167
196	247	349
14	268	462
357	173	246
422	65	424
238	329	296
110	99	317
465	496	257
336	447	363
391	380	421
432	450	367
99	55	426
150	97	324
309	483	238
93	164	160
377	270	416
196	1	247
101	138	191
241	85	281
425	106	481
145	32	180
325	287	214
247	324	257
190	91	107
33	120	283
308	223	324
99	288	45
78	207	315
37	391	54
121	125	180
5	23	500
238	483	154
275	382	182
337	363	362
88	393	31
452	78	166
392	217	130
216	217	424
418	397	492
333	337	362
361	24	429
446	225	338
187	405	379
498	347	260
73	450	446
315	210	482
99	45	55
93	160	129
386	198	447
133	374	416
37	58	413
294	234	332
90	425	71
300	226	157
289	176	147
331	2	333
414	407	130
383	392	409
336	363	337
331	328	2
249	168	307
14	462	38
2	341	333
178	94	133
341	337	333
281	85	350
170	408	161
207	313	315
204	2	328
78	219	496
319	295	481
265	243	13
462	42	29
48	309	387
38	462	29
131	427	241
150	324	223
15	322	303
446	371	225
335	59	31
383	409	242
50	483	48
53	129	125
13	204	200
380	242	421
476	278	365
56	47	23
154	329	238
341	349	337
392	130	407
343	336	337
318	5	276
470	221	222
20	431	38
349	343	337
270	398	272
29	42	322
272	398	344
217	383	422
6	234	149
50	81	483
2	196	341
341	196	349
344	68	355
211	417	131
368	475	330
492	388	57
13	200	265
381	57	413
29	322	15
247	257	343
353	494	455
309	238	311
150	231	97
300	139	226
46	149	234
182	396	262
111	80	163
15	38	29
20	38	15
473	220	396
138	415	16
77	117	429
268	223	308
231	157	97
12	68	385
156	470	222
56	244	7
11	448	9
138	141	415
413	57	37
300	20	354
300	157	231
188	435	387
221	246	222
388	391	37
438	380	391
125	121	53
354	20	461
7	76	34
405	364	75
323	31	393
80	86	163
316	326	388
398	456	344
193	192	299
85	351	63
154	299	329
1	196	2
299	358	329
20	15	461
358	205	329
152	347	331
486	342	113
57	388	37
90	457	425
264	364	187
415	4	16
230	475	195
352	75	370
405	352	379
121	501	53
135	4	448
233	36	224
110	317	86
183	501	121
365	156	476
358	376	205
13	68	12
160	473	129
152	85	63
401	305	7
15	303	69
220	70	262
192	375	299
7	244	76
373	397	277
121	485	472
362	363	350
13	355	68
500	23	47
299	375	358
163	86	269
111	163	220
375	376	358
160	111	220
392	383	217
393	77	287
198	386	364
377	398	270
174	137	190
251	133	22
178	133	251
378	447	336
12	2	13
192	236	375
371	374	94
65	422	242
317	99	426
148	483	81
10	171	4
277	397	418
163	269	220
477	437	325
473	160	220
481	295	71
130	441	39
125	129	320
131	417	427
373	316	397
214	24	197
116	384	118
2	204	13
411	27	499
212	291	373
268	1	12
347	229	260
13	243	355
236	95	375
321	307	168
444	174	417
115	188	301
11	9	437
135	11	477
47	439	83
113	342	240
375	95	376
168	153	321
418	492	381
129	473	320
56	23	244
187	379	275
353	455	47
4	135	16
443	10	4
2	12	1
382	379	352
435	139	354
9	500	437
320	180	125
275	379	382
307	321	399
402	429	117
378	219	390
145	339	32
404	214	197
11	437	477
326	316	165
370	452	103
334	317	96
370	378	390
317	334	86
96	170	334
219	378	343
387	40	48
242	422	383
230	40	66
223	268	14
371	463	374
296	115	301
48	40	195
416	451	377
382	352	103
377	451	398
319	356	310
40	230	195
22	457	251
356	327	348
50	48	52
500	9	64
299	154	254
52	48	195
134	284	289
81	50	52
394	406	400
86	334	269
204	404	197
400	412	399
325	404	328
445	314	140
52	195	81
143	406	394
439	56	7
500	47	8
423	412	400
47	56	439
415	443	4
403	138	16
481	71	425
276	5	64
387	366	40
152	63	347
445	3	314
312	327	356
382	339	396
234	294	307
487	371	446
452	370	390
339	382	100
495	215	469
12	385	414
43	348	401
197	202	265
197	265	200
406	423	400
256	297	61
312	356	319
398	451	459
157	226	332
154	148	254
393	287	325
412	420	399
399	420	307
461	15	69
79	98	368
61	79	201
143	436	406
406	419	423
302	401	348
452	390	78
356	348	43
436	419	406
423	433	412
158	205	376
182	382	396
193	254	61
188	139	435
268	12	172
251	263	178
143	118	436
429	24	214
328	404	204
202	82	265
348	327	302
46	307	420
201	464	256
366	461	69
342	209	62
143	169	259
143	259	116
428	46	420
104	321	115
236	151	493
169	376	95
208	271	424
374	489	416
112	159	176
216	108	217
433	442	412
412	442	420
169	394	158
157	332	97
107	318	440
139	153	168
428	149	46
97	332	6
161	132	74
356	43	30
103	228	100
436	449	419
340	248	237
419	433	423
212	373	277
235	248	340
170	161	126
395	211	131
36	240	224
205	115	296
369	218	501
351	440	276
143	394	169
449	433	419
420	453	428
152	333	362
342	62	224
193	297	213
6	89	97
492	397	388
386	447	75
118	183	436
344	456	68
135	477	179
420	442	453
153	139	188
296	329	205
436	458	449
467	453	442
453	471	428
429	402	361
471	149	428
389	215	212
16	135	62
455	494	476
433	467	442
498	36	233
158	376	169
321	153	188
449	467	433
291	212	258
61	148	79
471	210	149
384	183	118
210	313	149
169	95	259
436	472	458
188	387	309
245	132	263
290	302	327
221	357	246
224	179	477
350	85	152
352	370	103
75	447	378
137	102	190
209	191	62
350	152	362
191	403	62
3	490	17
436	183	472
456	466	68
208	424	167
467	471	453
466	385	68
158	104	205
207	465	89
104	115	205
298	350	363
306	410	284
347	498	233
499	177	218
400	104	394
347	233	232
462	172	19
394	104	158
190	107	440
275	245	187
487	463	371
357	359	117
115	321	188
458	478	449
478	467	449
334	105	269
118	143	116
42	474	322
34	43	401
467	480	471
501	384	369
285	367	114
463	489	374
448	67	9
417	174	427
148	81	98
232	477	325
488	451	416
176	159	293
62	135	179
152	331	333
302	305	401
233	477	232
267	41	345
316	388	397
331	347	232
405	75	352
399	321	104
36	498	240
62	179	224
288	338	45
396	339	145
378	336	343
248	279	216
162	166	482
278	494	186
410	306	123
472	478	458
335	455	476
282	255	237
59	88	31
292	245	263
66	340	230
484	173	77
484	246	173
222	246	484
364	386	75
290	265	302
462	268	172
435	354	366
6	207	89
0	60	28
482	471	480
187	364	405
24	372	194
370	75	378
237	271	208
478	480	467
7	305	439
263	251	306
30	43	181
368	201	79
471	482	210
393	325	323
280	63	351
207	496	465
187	245	292
494	353	186
137	119	124
485	478	472
291	282	373
198	298	447
121	472	183
197	24	194
82	202	83
253	327	312
264	134	289
211	395	293
327	253	290
135	448	11
435	366	387
485	32	266
88	484	77
251	90	123
251	123	306
114	288	41
497	381	432
189	186	372
279	303	322
292	263	134
400	399	104
488	416	489
201	330	464
72	281	350
237	208	282
369	499	218
132	178	263
266	478	485
66	235	340
372	186	194
225	170	55
482	166	315
364	273	198
293	159	211
21	452	166
291	258	255
108	441	217
310	356	30
316	208	167
47	83	353
429	214	287
366	69	66
190	440	427
445	490	3
235	69	303
35	285	114
389	490	445
215	18	212
230	340	237
230	237	255
285	497	432
459	460	392
185	320	473
269	105	70
174	190	427
468	463	487
495	469	213
468	489	463
73	114	367
389	277	490
302	265	305
490	418	497
84	498	260
0	314	3
485	180	32
128	491	27
221	470	365
234	6	332
451	460	459
469	445	140
134	263	306
154	483	148
233	224	477
236	155	151
402	359	189
361	402	189
18	495	464
116	434	384
459	456	398
373	282	316
462	19	42
359	221	365
469	140	155
230	255	258
239	67	206
136	253	312
220	269	70
491	26	499
213	236	192
213	155	236
314	491	140
194	83	202
319	310	122
197	194	202
0	28	26
256	464	495
366	354	461
474	441	322
434	27	411
469	155	213
259	95	236
19	12	414
83	439	82
460	451	488
187	292	286
411	499	369
434	369	384
434	411	369
299	254	193
126	334	170
291	255	282
43	34	181
305	265	82
491	314	0
366	66	40
368	98	81
195	475	368
479	119	261
192	193	213
367	285	432
271	237	248
454	360	261
261	360	479
479	360	346
439	305	82
114	338	288
28	41	267
490	497	17
248	235	279
1	308	247
494	278	476
499	28	177
499	27	491
61	254	148
388	326	391
172	12	19
256	495	297
258	18	475
171	67	448
361	372	24
235	303	279
497	285	25
26	28	499
189	278	186
60	44	28
475	230	258
393	88	77
253	243	290
438	167	65
440	318	276
359	357	221
42	19	474
7	34	401
493	434	116
297	495	213
290	243	265
19	414	39
18	258	212
282	208	316
491	0	26
389	212	277
447	298	363
486	209	342
474	19	39
23	318	91
454	122	360
122	310	360
361	189	372
248	216	271
495	18	215
497	418	381
253	355	243
359	365	278
360	310	346
469	215	445
64	5	500
30	87	310
286	292	134
201	368	330
470	156	365
236	493	259
310	87	346
193	61	297
253	136	355
298	274	350
359	278	189
284	134	306
216	279	108
279	322	108
167	424	65
66	69	235
132	245	250
440	351	241
215	389	445
466	456	459
25	285	35
454	295	122
