2,196,341
216,279,108
393,88,77
250,74,132
430,468,487
230,340,237
201,464,256
221,357,246
90,295,454
358,376,205
359,365,278
416,22,133
20,431,38
182,382,396
502,314,3
71,295,90
270,106,22
25,35,60
443,10,4
422,65,424
101,142,138
290,243,265
83,439,82
302,401,348
170,161,126
432,413,450
234,294,307
474,19,39
489,468,58
268,1,12
368,81,195
190,91,107
242,422,383
377,451,398
463,489,374
499,177,218
251,90,123
9,500,437
219,257,496
467,471,453
216,108,217
380,65,242
446,371,225
86,334,269
446,450,487
111,80,163
137,119,124
291,282,373
244,23,91
79,98,368
208,424,167
331,347,232
132,178,263
234,307,46
174,190,427
461,15,69
35,114,41
209,191,62
449,467,433
438,65,380
311,238,304
91,318,107
156,470,222
294,234,332
373,316,397
4,171,448
359,357,221
281,131,241
56,23,244
110,317,86
190,440,427
395,211,131
217,441,130
468,489,463
408,94,178
49,96,426
502,60,28
204,197,200
494,278,476
356,348,43
402,359,189
353,455,47
348,327,302
46,149,234
199,239,206
177,28,184
319,122,295
131,427,241
143,259,116
290,302,327
264,147,273
198,252,298
198,386,364
33,334,126
500,9,64
423,412,400
52,195,81
197,265,200
440,318,276
197,24,194
297,495,213
22,457,251
469,215,445
381,492,57
401,305,7
112,454,159
331,328,2
299,375,358
117,77,173
170,408,161
405,352,379
33,120,283
405,75,352
187,286,264
47,83,353
19,414,39
382,352,103
360,310,346
484,246,173
326,316,165
169,376,95
455,335,31
357,173,246
479,346,124
492,388,57
292,263,134
201,330,464
395,274,293
338,225,55
199,206,171
152,347,331
143,406,394
378,219,390
103,228,100
33,262,70
5,23,500
399,420,307
487,463,371
188,435,387
50,81,483
280,63,351
501,129,53
242,409,421
271,216,424
419,433,423
21,166,162
236,95,375
280,229,63
114,338,288
249,168,307
123,90,112
418,492,381
276,5,64
370,378,390
390,219,78
150,97,324
381,413,432
490,418,497
185,320,473
347,63,229
345,110,86
371,374,94
405,364,75
457,90,251
445,490,3
414,407,130
374,489,416
187,292,286
94,374,133
211,395,293
336,363,337
1,268,308
399,321,104
416,270,22
445,314,140
156,222,59
139,153,168
152,333,362
369,218,501
201,368,330
185,180,320
47,439,83
279,322,108
233,36,224
108,441,217
451,460,459
154,148,254
241,85,281
276,64,280
456,466,68
493,151,27
238,296,304
135,448,11
142,146,144
36,240,224
499,27,491
392,217,130
62,135,179
501,218,93
487,371,446
288,338,45
156,335,476
247,324,257
16,135,62
436,419,406
66,69,235
55,49,426
18,330,475
495,215,469
467,453,442
230,237,255
85,351,63
273,364,264
350,85,152
43,34,181
48,40,195
473,396,185
92,319,481
97,332,6
392,130,407
61,254,148
261,119,444
143,394,169
34,43,401
488,416,489
6,234,149
354,139,300
150,324,223
15,322,303
160,111,220
210,313,149
336,447,363
361,24,429
349,343,337
339,382,100
6,89,97
256,495,297
400,104,394
300,139,226
193,297,213
394,406,400
454,295,122
326,165,391
204,2,328
400,399,104
13,68,12
18,495,464
318,5,276
259,493,116
436,183,472
207,6,313
283,182,262
403,16,62
316,388,397
365,156,476
135,4,448
90,425,71
411,499,369
214,24,197
368,475,330
393,77,287
462,268,172
13,204,200
174,137,190
298,274,350
420,453,428
128,140,491
481,295,71
84,227,199
106,92,481
251,123,306
485,180,32
470,156,365
481,71,425
253,327,312
20,15,461
217,383,422
473,220,396
190,102,91
395,131,281
249,307,294
80,345,86
309,238,311
37,58,413
229,280,227
192,193,213
230,255,258
324,465,257
152,63,347
66,340,230
393,287,325
345,80,109
226,249,294
366,354,461
176,293,147
378,447,336
253,355,243
152,331,333
152,85,63
198,298,447
267,41,345
479,119,261
162,166,482
281,85,350
347,229,260
438,380,391
260,227,84
283,250,275
435,366,387
484,173,77
347,233,232
314,491,140
282,255,237
127,76,244
130,441,39
35,285,114
3,17,502
148,98,79
218,164,93
49,170,96
46,307,420
491,502,26
197,202,265
392,383,217
429,24,214
335,455,476
279,303,322
25,285,35
178,133,251
469,155,213
319,295,481
368,201,79
341,196,349
344,68,355
169,95,259
319,136,312
91,102,127
410,289,284
275,382,182
172,12,19
490,497,17
495,18,215
425,106,481
177,164,218
491,26,499
415,4,16
415,443,4
259,95,236
38,462,29
7,244,76
203,228,175
85,241,351
187,379,275
143,118,436
371,463,374
225,371,94
502,28,26
498,347,260
378,336,343
128,155,140
139,168,249
383,409,242
116,384,118
248,235,279
93,164,160
334,105,269
238,329,296
291,212,258
452,78,166
299,254,193
41,99,110
141,144,443
353,494,455
78,219,496
233,224,477
432,450,367
162,482,480
62,179,224
154,329,238
195,475,368
342,209,62
173,357,117
450,73,367
319,356,310
400,412,399
56,47,23
143,169,259
64,5,500
275,379,382
226,139,249
182,396,262
492,397,388
221,470,365
368,98,81
366,69,66
391,380,421
356,43,30
377,398,270
384,183,118
219,378,343
500,47,8
135,477,179
232,477,325
51,409,460
407,414,466
264,134,289
17,60,502
247,257,343
414,385,466
110,99,317
192,375,299
358,205,329
370,452,103
271,237,248
42,19,474
6,207,89
73,450,446
478,266,480
41,110,345
2,204,13
106,272,92
403,138,16
193,254,61
237,271,208
66,235,340
497,285,25
359,278,189
120,33,126
204,404,197
120,250,283
261,417,211
121,125,180
163,269,220
7,305,439
235,248,340
269,105,70
138,415,16
2,12,1
207,496,465
189,186,372
213,155,236
252,274,298
146,199,144
325,331,232
439,56,7
187,364,405
82,202,83
196,247,349
229,227,260
407,459,392
282,208,316
495,469,213
344,456,68
352,75,370
150,431,231
412,442,420
364,273,198
61,148,79
285,497,432
454,211,159
121,485,472
273,252,198
434,411,369
238,483,154
486,342,113
406,419,423
149,313,6
434,27,411
339,100,32
284,134,306
37,54,58
160,184,111
220,70,262
450,430,487
194,83,202
230,40,66
501,384,369
418,490,277
144,199,171
359,402,117
349,247,343
153,139,188
488,451,416
56,244,7
148,483,81
478,480,467
391,421,54
213,236,192
261,360,479
486,209,342
256,464,495
377,270,416
299,358,329
81,50,52
154,483,148
462,172,19
130,39,414
422,424,217
248,216,271
313,210,315
75,447,378
33,283,262
50,48,52
387,366,40
273,147,252
434,493,27
13,200,265
302,265,305
325,214,404
191,209,101
342,62,224
293,274,252
185,145,180
143,436,406
410,176,289
245,132,263
338,114,446
388,391,37
302,305,401
300,20,354
429,402,361
250,120,74
215,18,212
276,280,351
74,120,126
293,159,211
289,176,147
431,150,14
384,501,183
286,134,264
144,171,10
468,463,487
136,319,92
234,6,332
253,243,290
311,304,301
158,104,205
4,135,16
161,132,74
310,87,346
207,465,89
125,121,53
32,100,203
106,425,457
436,458,449
222,246,484
115,321,188
103,452,228
439,305,82
417,174,427
316,326,388
420,442,453
482,471,480
286,292,134
266,175,480
334,33,105
309,311,301
413,57,37
453,471,428
212,373,277
468,430,58
48,309,387
452,370,390
191,403,62
164,177,184
59,484,88
131,417,427
460,451,488
412,420,399
158,376,169
471,210,149
49,55,170
261,211,454
100,382,103
497,25,17
270,398,272
454,122,360
308,324,247
265,243,13
230,475,195
404,214,197
90,457,425
474,441,322
493,434,116
244,91,127
144,10,443
187,245,292
310,356,30
189,278,186
164,184,160
128,151,155
499,28,177
20,38,15
151,128,27
104,115,205
287,77,429
124,102,137
380,242,421
104,321,115
122,310,360
351,440,276
191,138,403
7,34,401
312,356,319
169,394,158
478,467,449
386,447,75
306,410,284
182,283,275
270,272,106
138,141,415
475,230,258
497,418,381
64,239,280
398,451,459
133,374,416
19,12,414
188,309,301
142,144,138
307,321,399
433,467,442
36,498,240
485,32,266
212,291,373
181,87,30
388,326,391
327,253,290
361,402,189
221,246,222
312,327,356
42,474,322
178,94,133
309,483,238
253,136,355
135,11,477
235,303,279
410,123,112
61,79,201
462,42,29
317,99,426
305,265,82
423,433,412
207,78,496
206,67,171
178,161,408
61,201,256
467,480,471
275,245,187
31,8,455
73,446,114
402,429,117
331,2,333
440,351,241
235,69,303
366,66,40
361,189,372
107,318,440
345,109,267
393,325,323
52,48,195
321,153,188
14,268,462
171,67,448
88,393,31
129,501,93
205,115,296
325,287,214
12,385,414
462,19,42
441,474,39
350,152,362
53,129,125
410,112,176
231,157,97
315,210,482
449,433,419
29,322,15
466,385,68
23,318,91
446,225,338
113,342,240
176,159,293
128,491,27
13,355,68
239,67,206
356,327,348
413,430,450
389,212,277
323,31,393
121,472,183
452,390,78
193,61,297
44,41,28
257,219,343
473,160,220
278,494,186
458,478,449
22,106,457
60,44,28
318,23,5
266,203,175
396,145,185
344,355,136
114,288,41
146,142,113
239,199,227
28,267,184
121,501,53
308,223,324
225,170,55
395,72,274
145,32,180
11,448,9
145,339,32
389,215,212
375,376,358
431,300,231
48,483,309
157,226,332
459,460,392
215,389,445
127,34,76
225,408,170
256,297,61
324,97,465
14,38,431
275,250,245
99,55,426
72,395,281
190,107,440
325,404,328
50,483,48
266,478,485
165,438,391
479,124,119
116,434,384
367,285,432
454,360,261
10,171,4
361,372,24
13,243,355
382,339,396
373,397,277
163,86,269
228,452,21
138,144,141
407,466,459
118,183,436
389,490,445
262,396,220
21,452,166
486,101,209
125,129,320
168,153,321
491,314,502
364,386,75
267,109,184
94,408,225
216,217,424
334,317,96
165,167,438
398,456,344
263,251,306
222,484,59
87,181,102
333,337,362
438,167,65
150,231,97
497,381,432
134,284,289
187,405,379
428,46,420
353,194,186
298,350,363
134,263,306
192,236,375
47,455,8
202,82,265
428,149,46
301,304,296
7,76,34
239,64,67
489,54,488
51,488,54
9,67,64
161,178,132
96,170,334
357,359,117
188,139,435
12,68,385
494,353,186
29,42,322
65,422,242
482,166,315
236,493,259
396,339,145
372,186,194
20,300,431
354,20,461
87,102,124
142,101,486
480,175,162
43,348,401
291,255,282
465,496,257
88,484,77
443,415,141
251,133,22
142,486,113
418,397,492
436,472,458
197,194,202
416,451,377
248,279,216
14,150,223
11,437,477
323,437,500
17,25,60
165,316,167
93,160,129
112,159,176
434,369,384
97,89,465
175,228,21
498,36,233
211,417,131
444,137,174
193,192,299
268,223,308
11,9,437
111,163,220
321,307,168
102,181,34
381,57,413
237,208,282
500,23,47
340,248,237
272,398,344
300,226,157
160,473,129
409,51,421
435,139,354
471,149,428
233,477,232
18,258,212
369,499,218
35,44,60
31,323,8
264,289,147
362,363,350
58,54,489
99,45,55
137,102,190
341,337,333
111,109,80
132,245,250
2,341,333
78,207,315
406,423,400
99,288,45
236,155,151
183,501,121
373,282,316
105,33,70
115,188,301
78,315,166
207,313,315
470,221,222
448,67,9
292,245,263
323,325,437
126,334,170
268,12,172
319,310,122
203,100,228
240,84,146
485,478,472
147,293,252
251,263,178
394,104,158
300,157,231
464,330,18
444,174,417
258,18,475
40,230,195
158,205,376
317,334,86
15,303,69
84,498,260
460,488,51
343,336,337
15,38,29
119,137,444
101,138,191
80,86,163
157,332,97
196,1,247
188,387,309
108,322,441
121,180,485
435,354,366
239,227,280
455,494,476
341,349,337
240,146,113
472,478,458
30,87,310
375,95,376
57,388,37
433,442,412
347,498,233
476,278,365
73,114,367
338,55,45
410,306,123
285,367,114
299,154,254
14,462,38
386,198,447
199,146,84
447,298,363
335,59,31
498,84,240
8,323,500
296,329,205
129,473,320
77,117,429
477,437,325
469,445,140
466,456,459
223,268,14
184,109,111
102,34,127
366,461,69
353,83,194
383,392,409
277,397,418
24,372,194
344,136,272
261,444,417
208,271,424
220,269,70
161,74,126
37,391,54
460,409,392
382,379,352
294,332,226
429,214,287
224,179,477
389,277,490
479,360,346
26,28,499
430,413,58
72,350,274
316,208,167
1,308,247
426,96,317
331,325,328
445,3,314
236,151,493
320,180,125
47,56,439
328,404,204
167,424,65
459,456,398
1,196,2
387,40,48
352,370,103
296,115,301
118,143,116
335,156,59
370,75,378
291,258,255
272,136,92
175,21,162
28,41,267
266,32,203
359,221,365
35,41,44
154,299,329
290,265,302
3,490,17
288,99,41
12,2,13
469,140,155
337,363,362
346,87,124
136,253,312
240,342,224
440,241,427
148,81,98
471,482,210
264,364,187
30,43,181
436,449,419
411,27,499
59,88,31
112,90,454
72,281,350
54,421,51
